Ver1.2	2229585149	StartFile	4/8/2020	1:54:00 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\040820\Run 2\SoundData.txt	2229585149
2230535692	Triggered	6	 NoSound	50	2	2230535692
2230544520	Triggered	1	 PureTone-5kHz	50	2	2230544520
2230547860	Triggered	6	 NoSound	50	2	2230547860
2230556081	Triggered	1	 PureTone-5kHz	50	2	2230556081
2230559354	Triggered	6	 NoSound	50	2	2230559354
2230567583	Triggered	1	 PureTone-5kHz	50	2	2230567583
2230570986	Triggered	4	 NoSound	50	2	2230570986
2230579945	Triggered	1	 PureTone-5kHz	50	2	2230579945
2230583885	Triggered	5	 PureTone-5kHz	50	2	2230583885
2230587563	Triggered	8	 NoSound	50	2	2230587563
2230597789	Triggered	5	 PureTone-5kHz	50	2	2230597789
2230601132	Triggered	8	 NoSound	50	2	2230601132
2230611028	Triggered	5	 PureTone-5kHz	50	2	2230611028
2230614564	Triggered	8	 NoSound	50	2	2230614564
2230624392	Triggered	5	 PureTone-5kHz	50	2	2230624392
2230627466	Triggered	8	 NoSound	50	2	2230627466
2230638497	Triggered	5	 PureTone-5kHz	50	2	2230638497
2230642905	Triggered	1	 PureTone-5kHz	50	2	2230642906
2230646115	Triggered	6	 NoSound	50	2	2230646115
2230651730	Triggered	1	 PureTone-5kHz	50	2	2230651730
2230659222	Triggered	6	 NoSound	50	2	2230659222
2230666704	Triggered	1	 PureTone-5kHz	50	2	2230666704
2230669846	Triggered	6	 NoSound	50	2	2230669846
2230674991	Triggered	1	 PureTone-5kHz	50	2	2230674991
2230678264	Triggered	4	 NoSound	50	2	2230678264
2230688499	Triggered	1	 PureTone-5kHz	50	2	2230688499
2230692568	Triggered	5	 PureTone-5kHz	50	2	2230692568
2230695644	Triggered	8	 NoSound	50	2	2230695644
2230707741	Triggered	5	 PureTone-5kHz	50	2	2230707741
2230711149	Triggered	8	 NoSound	50	2	2230711149
2230722115	Triggered	5	 PureTone-5kHz	50	2	2230722115
2230725388	Triggered	8	 NoSound	50	2	2230725388
2230737485	Triggered	5	 PureTone-5kHz	50	2	2230737485
2230740894	Triggered	8	 NoSound	50	2	2230740894
2230756071	Triggered	5	 PureTone-5kHz	50	2	2230756071
2230760486	Triggered	1	 PureTone-5kHz	50	2	2230760486
2230764090	Triggered	6	 NoSound	50	2	2230764090
2230772444	Triggered	1	 PureTone-5kHz	50	2	2230772444
2230776054	Triggered	6	 NoSound	50	2	2230776054
2230785876	Triggered	1	 PureTone-5kHz	50	2	2230785876
2230789891	Triggered	6	 NoSound	50	2	2230789891
2230798779	Triggered	1	 PureTone-5kHz	50	2	2230798779
