Ver1.3	1091456755	StartFile	12/22/2020	9:35:35 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122220A\SoundData.txt	1091456755
1092165741	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1092165741
1092174803	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092174803
1092179918	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1092179918
1092180119	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1092180119
1092189184	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092189184
1092192553	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1092192553
1092192755	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	1092192755
1092202179	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092202179
1092202382	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1092202382
1092205609	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092205609
1092205811	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1092205811
1092216017	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092216017
1092216220	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1092216220
1092219206	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092219206
1092219408	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1092219408
1092230637	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092230637
1092230841	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1092230841
1092233826	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092233826
1092234028	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1092234028
1092244837	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092244837
1092245039	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1092245039
1092247846	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092247846
1092248058	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1092248058
1092260180	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092260180
1092260381	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1092260381
1092263430	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092263430
1092263632	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1092263632
1092275040	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092275040
1092275241	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1092275241
1092278652	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1092278652
1092278864	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1092278864
1092289781	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1092289781
1092289981	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1092289981
