Ver1.2	188296525	StartFile	4/18/2020	9:10:55 PM	E:\BehavioralExperiments\Tianqi\Horizon\RawData\041820C\SoundData.txt	188296525
189713970	Triggered	4	 NoSound	50	2	189713970
189725666	Triggered	1	 Modulated Tone	25	2	189725666
189728205	Triggered	4	 NoSound	50	2	189728205
189740638	Triggered	1	 Modulated Tone	25	2	189740638
189743247	Triggered	4	 NoSound	50	2	189743247
189758422	Triggered	1	 Modulated Tone	25	2	189758422
189761760	Triggered	4	 NoSound	50	2	189761760
189774931	Triggered	1	 Modulated Tone	25	2	189774931
189778478	Triggered	4	 NoSound	50	2	189778478
189789233	Triggered	3	 NoSound	50	2	189789233
189795789	Triggered	2	 NoSound	50	2	189795789
189804874	Triggered	1	 Modulated Tone	25	2	189804874
189808084	Triggered	4	 NoSound	50	2	189808084
189818447	Triggered	5	 Modulated Tone	25	2	189818447
189825460	Triggered	1	 Modulated Tone	25	2	189825460
189830146	Triggered	5	 Modulated Tone	25	2	189830146
189833687	Triggered	2	 NoSound	50	2	189833687
189842172	Triggered	1	 Modulated Tone	25	2	189842172
189847850	Triggered	5	 Modulated Tone	25	2	189847850
189851328	Triggered	2	 NoSound	50	2	189851328
189864697	Triggered	5	 Modulated Tone	25	2	189864697
189869984	Triggered	2	 NoSound	50	2	189869984
189883545	Triggered	5	 Modulated Tone	25	2	189883545
189921979	Triggered	2	 NoSound	50	2	189921979
189935284	Triggered	5	 Modulated Tone	25	2	189935284
189943167	Triggered	3	 NoSound	50	2	189943167
189945982	Triggered	4	 NoSound	50	2	189945982
189958341	Triggered	2	 NoSound	50	2	189958341
189991693	Triggered	5	 Modulated Tone	25	2	189991693
190327501	Triggered	2	 NoSound	50	2	190327501
190387458	Triggered	3	 NoSound	50	2	190387458
190390069	Triggered	2	 NoSound	50	2	190390069
190431305	Triggered	4	 NoSound	50	2	190431305
190441881	Triggered	5	 Modulated Tone	25	2	190441881
190452228	Triggered	8	 NoSound	50	2	190452228
190466863	Triggered	7	 NoSound	50	2	190466863
190468134	Triggered	6	 NoSound	50	2	190468134
190579692	Triggered	5	 Modulated Tone	25	2	190579692
190588782	Triggered	6	 NoSound	50	2	190588782
190822992	Triggered	8	 NoSound	50	2	190822992
190873658	Triggered	5	 Modulated Tone	25	2	190873658
190886356	Triggered	2	 NoSound	50	2	190886356
190943312	Triggered	8	 NoSound	50	2	190943312
190961153	Triggered	5	 Modulated Tone	25	2	190961153
191274102	Triggered	1	 Modulated Tone	25	2	191274102
191303577	Triggered	2	 NoSound	50	2	191303577
191313273	Triggered	3	 NoSound	50	2	191313273
191317546	Triggered	4	 NoSound	50	2	191317546
