Ver1.2	147377372	StartFile	2/14/2020	1:24:04 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\SoundData.txt	147377372
148549924	Triggered	1	 Modulated Tone	25	2	148549924
148563290	Triggered	6	 NoSound	50	2	148563290
148568034	Triggered	1	 Modulated Tone	25	2	148568034
148571108	Triggered	4	 NoSound	50	2	148571108
148580666	Triggered	1	 Modulated Tone	25	2	148580666
148584477	Triggered	4	 NoSound	50	2	148584477
148593967	Triggered	1	 Modulated Tone	25	2	148593967
148598913	Triggered	5	 Modulated Tone	25	2	148598913
148601855	Triggered	8	 NoSound	50	2	148601855
148615891	Triggered	5	 Modulated Tone	25	2	148615891
148618899	Triggered	8	 NoSound	50	2	148618899
148628993	Triggered	6	 NoSound	50	2	148628993
148633338	Triggered	5	 Modulated Tone	25	2	148633338
148636813	Triggered	2	 NoSound	50	2	148636813
148641893	Triggered	5	 Modulated Tone	25	2	148641893
148644837	Triggered	8	 NoSound	50	2	148644837
148655932	Triggered	5	 Modulated Tone	25	2	148655932
148659344	Triggered	2	 NoSound	50	2	148659344
148663950	Triggered	5	 Modulated Tone	25	2	148663950
148668494	Triggered	2	 NoSound	50	2	148668494
148672174	Triggered	5	 Modulated Tone	25	2	148672174
148675313	Triggered	8	 NoSound	50	2	148675313
148687878	Triggered	5	 Modulated Tone	25	2	148687878
148691153	Triggered	8	 NoSound	50	2	148691153
148717428	Triggered	7	 NoSound	50	2	148717428
148720838	Triggered	6	 NoSound	50	2	148720838
148725511	Triggered	5	 Modulated Tone	25	2	148725511
148728652	Triggered	8	 NoSound	50	2	148728652
148745567	Triggered	5	 Modulated Tone	25	2	148745567
148749039	Triggered	8	 NoSound	50	2	148749039
148764880	Triggered	5	 Modulated Tone	25	2	148764880
148767956	Triggered	8	 NoSound	50	2	148767956
148782062	Triggered	5	 Modulated Tone	25	2	148782062
148785199	Triggered	8	 NoSound	50	2	148785199
148795298	Triggered	5	 Modulated Tone	25	2	148795298
148800572	Triggered	1	 Modulated Tone	25	2	148800572
148804116	Triggered	6	 NoSound	50	2	148804116
148815145	Triggered	1	 Modulated Tone	25	2	148815145
148819027	Triggered	6	 NoSound	50	2	148819027
148828789	Triggered	1	 Modulated Tone	25	2	148828789
148831988	Triggered	4	 NoSound	50	2	148831988
148838537	Triggered	8	 NoSound	50	2	148838537
148842621	Triggered	1	 Modulated Tone	25	2	148842621
148845763	Triggered	4	 NoSound	50	2	148845763
148851839	Triggered	1	 Modulated Tone	25	2	148851839
148855585	Triggered	4	 NoSound	50	2	148855585
148859191	Triggered	1	 Modulated Tone	25	2	148859191
148862267	Triggered	6	 NoSound	50	2	148862267
148873030	Triggered	1	 Modulated Tone	25	2	148873030
148877641	Triggered	6	 NoSound	50	2	148877641
148889743	Triggered	1	 Modulated Tone	25	2	148889743
148897031	Triggered	6	 NoSound	50	2	148897031
148905846	Triggered	1	 Modulated Tone	25	2	148905846
148913332	Triggered	6	 NoSound	50	2	148913332
148926166	Triggered	1	 Modulated Tone	25	2	148926166
148930718	Triggered	6	 NoSound	50	2	148930718
148943686	Triggered	1	 Modulated Tone	25	2	148943686
148948432	Triggered	6	 NoSound	50	2	148948432
148959922	Triggered	1	 Modulated Tone	25	2	148959922
148964476	Triggered	6	 NoSound	50	2	148964476
148975232	Triggered	1	 Modulated Tone	25	2	148975232
148981110	Triggered	8	 NoSound	50	2	148981110
148985991	Triggered	6	 NoSound	50	2	148985991
148991142	Triggered	5	 Modulated Tone	25	2	148991142
148994410	Triggered	2	 NoSound	50	2	148994410
149009784	Triggered	5	 Modulated Tone	25	2	149009784
149014062	Triggered	2	 NoSound	50	2	149014062
149024021	Triggered	5	 Modulated Tone	25	2	149024021
149027364	Triggered	2	 NoSound	50	2	149027364
149037790	Triggered	5	 Modulated Tone	25	2	149037790
149041273	Triggered	8	 NoSound	50	2	149041273
149048086	Triggered	5	 Modulated Tone	25	2	149048086
149053099	Triggered	8	 NoSound	50	2	149053099
149059247	Triggered	5	 Modulated Tone	25	2	149059247
149063265	Triggered	8	 NoSound	50	2	149063265
149067066	Triggered	6	 NoSound	50	2	149067066
149070342	Triggered	5	 Modulated Tone	25	2	149070342
149074086	Triggered	2	 NoSound	50	2	149074086
149085247	Triggered	5	 Modulated Tone	25	2	149085247
149092205	Triggered	2	 NoSound	50	2	149092205
149102099	Triggered	5	 Modulated Tone	25	2	149102099
149109512	Triggered	2	 NoSound	50	2	149109512
149127425	Triggered	6	 NoSound	50	2	149127425
149135049	Triggered	5	 Modulated Tone	25	2	149135049
149157637	Triggered	2	 NoSound	50	2	149157637
149168601	Triggered	5	 Modulated Tone	25	2	149168601
149173075	Triggered	2	 NoSound	50	2	149173075
149184505	Triggered	5	 Modulated Tone	25	2	149184505
149188183	Triggered	2	 NoSound	50	2	149188183
149204961	Triggered	4	 NoSound	50	2	149204961
149207439	Triggered	3	 NoSound	50	2	149207439
149208442	Triggered	2	 NoSound	50	2	149208442
149221269	Triggered	2	 NoSound	50	2	149221269
149230225	Triggered	5	 Modulated Tone	25	2	149230225
149234771	Triggered	1	 Modulated Tone	25	2	149234771
149238591	Triggered	4	 NoSound	50	2	149238591
149249208	Triggered	2	 NoSound	50	2	149249208
149252891	Triggered	1	 Modulated Tone	25	2	149252891
149260439	Triggered	6	 NoSound	50	2	149260439
149266457	Triggered	1	 Modulated Tone	25	2	149266457
149271535	Triggered	4	 NoSound	50	2	149271535
149284299	Triggered	1	 Modulated Tone	25	2	149284299
149288512	Triggered	6	 NoSound	50	2	149288512
149294727	Triggered	1	 Modulated Tone	25	2	149294727
149298605	Triggered	4	 NoSound	50	2	149298605
149311703	Triggered	1	 Modulated Tone	25	2	149311703
149316985	Triggered	6	 NoSound	50	2	149316985
149326280	Triggered	7	 NoSound	50	2	149326280
149329617	Triggered	1	 Modulated Tone	25	2	149329617
149334032	Triggered	6	 NoSound	50	2	149334032
149338708	Triggered	1	 Modulated Tone	25	2	149338708
149344062	Triggered	4	 NoSound	50	2	149344062
149355352	Triggered	1	 Modulated Tone	25	2	149355352
149361501	Triggered	6	 NoSound	50	2	149361501
149375671	Triggered	1	 Modulated Tone	25	2	149375671
149381426	Triggered	6	 NoSound	50	2	149381426
149385763	Triggered	1	 Modulated Tone	25	2	149385763
149389239	Triggered	4	 NoSound	50	2	149389239
149400067	Triggered	1	 Modulated Tone	25	2	149400067
149409760	Triggered	8	 NoSound	50	2	149409760
149413971	Triggered	6	 NoSound	50	2	149413971
149419185	Triggered	1	 Modulated Tone	25	2	149419185
149424331	Triggered	5	 Modulated Tone	25	2	149424331
149427674	Triggered	8	 NoSound	50	2	149427674
149447204	Triggered	5	 Modulated Tone	25	2	149447204
149452606	Triggered	8	 NoSound	50	2	149452606
149477070	Triggered	3	 NoSound	50	2	149477070
149480612	Triggered	2	 NoSound	50	2	149480612
149488572	Triggered	5	 Modulated Tone	25	2	149488572
149493043	Triggered	2	 NoSound	50	2	149493043
149498194	Triggered	8	 NoSound	50	2	149498194
149503273	Triggered	5	 Modulated Tone	25	2	149503273
149508016	Triggered	2	 NoSound	50	2	149508016
149514566	Triggered	5	 Modulated Tone	25	2	149514566
149519049	Triggered	2	 NoSound	50	2	149519049
149523192	Triggered	5	 Modulated Tone	25	2	149523192
149526935	Triggered	8	 NoSound	50	2	149526935
149542037	Triggered	5	 Modulated Tone	25	2	149542037
149546386	Triggered	2	 NoSound	50	2	149546386
149554004	Triggered	5	 Modulated Tone	25	2	149554004
149621243	Triggered	8	 NoSound	50	2	149621243
149643169	Triggered	5	 Modulated Tone	25	2	149643169
149648856	Triggered	8	 NoSound	50	2	149648856
149658745	Triggered	6	 NoSound	50	2	149658745
149664496	Triggered	5	 Modulated Tone	25	2	149664496
149671240	Triggered	8	 NoSound	50	2	149671240
149687156	Triggered	5	 Modulated Tone	25	2	149687156
149717564	Triggered	8	 NoSound	50	2	149717565
149753924	Triggered	5	 Modulated Tone	25	2	149753924
149759070	Triggered	8	 NoSound	50	2	149759070
149774844	Triggered	4	 NoSound	50	2	149774844
149787548	Triggered	7	 NoSound	50	2	149787548
149788948	Triggered	8	 NoSound	50	2	149788948
149793760	Triggered	6	 NoSound	50	2	149793760
149799576	Triggered	8	 NoSound	50	2	149799576
149811140	Triggered	6	 NoSound	50	2	149811140
149815017	Triggered	8	 NoSound	50	2	149815017
149819635	Triggered	2	 NoSound	50	2	149819635
149828990	Triggered	6	 NoSound	50	2	149828990
149835472	Triggered	5	 Modulated Tone	25	2	149835472
149840081	Triggered	1	 Modulated Tone	25	2	149840081
149843759	Triggered	4	 NoSound	50	2	149843759
149849707	Triggered	1	 Modulated Tone	25	2	149849707
149853049	Triggered	6	 NoSound	50	2	149853049
149863877	Triggered	1	 Modulated Tone	25	2	149863877
149868289	Triggered	4	 NoSound	50	2	149868289
149874041	Triggered	1	 Modulated Tone	25	2	149874041
149878453	Triggered	6	 NoSound	50	2	149878453
149891350	Triggered	1	 Modulated Tone	25	2	149891350
149895899	Triggered	4	 NoSound	50	2	149895899
149902450	Triggered	1	 Modulated Tone	25	2	149902450
149906854	Triggered	6	 NoSound	50	2	149906854
149919020	Triggered	1	 Modulated Tone	25	2	149919020
149924308	Triggered	6	 NoSound	50	2	149924308
149942147	Triggered	1	 Modulated Tone	25	2	149942147
149966211	Triggered	6	 NoSound	50	2	149966211
149977844	Triggered	1	 Modulated Tone	25	2	149977844
149984390	Triggered	6	 NoSound	50	2	149984390
149998094	Triggered	2	 NoSound	50	2	149998094
150004382	Triggered	8	 NoSound	50	2	150004382
150008588	Triggered	6	 NoSound	50	2	150008588
150014869	Triggered	1	 Modulated Tone	25	2	150014869
150018345	Triggered	6	 NoSound	50	2	150018345
150031718	Triggered	1	 Modulated Tone	25	2	150031718
150036525	Triggered	6	 NoSound	50	2	150036525
150055309	Triggered	1	 Modulated Tone	25	2	150055309
150060321	Triggered	4	 NoSound	50	2	150060321
