Ver1.3	1021071007	StartFile	12/21/2020	2:02:29 PM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\122120B\SoundData.txt	1021071007
1021987838	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1021987838
1021990704	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1021990704
1021990907	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	1021990907
1022004363	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1022004363
1022004563	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1022004563
1022023737	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022023737
1022023941	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022023941
1022035407	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022035407
1022049306	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022049306
1022049509	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022049509
1022063024	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022063024
1022075297	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022075297
1022075500	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022075500
1022087090	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022087090
1022087295	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1022087295
1022090881	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022090881
1022091082	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022091082
1022102676	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022102676
1022102878	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1022102878
1022106824	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1022106824
1022107037	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	1022107037
1022120062	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1022120062
