Ver1.3	502113465	StartFile	12/15/2020	1:53:12 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\121520\SoundData.txt	502113465
503045491	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503045491
503045693	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503045693
503054637	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503054637
503054842	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	503054842
503058547	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503058547
503058749	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503058749
503065827	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503065827
503066030	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	503066030
503069197	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503069197
503069411	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503069411
503077078	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503077078
503077280	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	503077280
503080086	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503080086
503080288	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503080288
503087366	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503087366
503087568	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	503087568
503089960	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503089960
503090163	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	503090163
503105356	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503105356
503105556	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	503105556
503118655	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503118655
503121721	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503121721
503136040	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503136040
503142118	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503142118
503153067	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503153068
503160168	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503160168
503171598	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503171598
503171803	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	503171803
503175449	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503175449
503175650	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	503175650
503184775	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503184775
503184977	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	503184977
503239585	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503239585
503270030	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503270030
503270234	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	503270234
503273278	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503273278
503277791	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503277791
503277994	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	503277994
503281521	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503281521
503281721	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	503281721
503287544	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503287544
503287747	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	503287747
503291027	Triggered	2,37,38,39,40,41,	 NoSound	40	2	503291027
503295482	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503295482
503295683	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	503295683
503298789	Triggered	8,52,53,54,55,56,	 NoSound	40	2	503298789
503299000	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	503299000
503306250	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	503306250
503306450	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	503306451
503321351	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503321351
503321555	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503321555
503335971	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503335971
503339100	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503339100
503339303	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503339303
503353178	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503353178
503356308	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503356308
503356521	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503356521
503369964	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503369964
503370169	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	503370169
503373094	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503373094
503373295	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503373295
503389037	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503389037
503389241	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	503389241
503391986	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503391986
503392188	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503392188
503404681	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503404681
503404884	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	503404884
503407508	Triggered	4,42,43,44,45,46,	 NoSound	40	2	503407508
503407711	Triggered	4,42,43,44,45,46,	 File_beep5	40	2	503407711
503422189	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	503422189
