Ver1.2	638615615	StartFile	2/22/2020	12:04:28 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\022220\SoundData.txt	638615615
640033059	Triggered	6	 NoSound	50	2	640033059
640039001	Triggered	5	 Modulated Tone	25	2	640039001
640041943	Triggered	8	 NoSound	50	2	640041943
640051167	Triggered	1	 Modulated Tone	25	2	640051167
640054978	Triggered	6	 NoSound	50	2	640054978
640059063	Triggered	5	 Modulated Tone	25	2	640059063
640061996	Triggered	8	 NoSound	50	2	640061996
640072489	Triggered	5	 Modulated Tone	25	2	640072489
640075504	Triggered	8	 NoSound	50	2	640075504
640081579	Triggered	1	 Modulated Tone	25	2	640081579
640086262	Triggered	2	 NoSound	50	2	640086262
640090803	Triggered	5	 Modulated Tone	25	2	640090803
640093812	Triggered	8	 NoSound	50	2	640093812
640103704	Triggered	5	 Modulated Tone	25	2	640103704
640106916	Triggered	8	 NoSound	50	2	640106916
640117474	Triggered	5	 Modulated Tone	25	2	640117474
640120548	Triggered	8	 NoSound	50	2	640120548
640139732	Triggered	1	 Modulated Tone	25	2	640139732
640145547	Triggered	5	 Modulated Tone	25	2	640145547
640148689	Triggered	8	 NoSound	50	2	640148689
640159516	Triggered	5	 Modulated Tone	25	2	640159516
640162389	Triggered	8	 NoSound	50	2	640162389
640173017	Triggered	5	 Modulated Tone	25	2	640173017
640175959	Triggered	8	 NoSound	50	2	640175959
640186259	Triggered	5	 Modulated Tone	25	2	640186259
640189397	Triggered	8	 NoSound	50	2	640189397
640194878	Triggered	1	 Modulated Tone	25	2	640194878
640198554	Triggered	6	 NoSound	50	2	640198554
640210315	Triggered	1	 Modulated Tone	25	2	640210315
640213389	Triggered	6	 NoSound	50	2	640213389
640227761	Triggered	1	 Modulated Tone	25	2	640227761
640230768	Triggered	6	 NoSound	50	2	640230768
640244138	Triggered	1	 Modulated Tone	25	2	640244138
640247879	Triggered	4	 NoSound	50	2	640247879
640254298	Triggered	1	 Modulated Tone	25	2	640254298
640264592	Triggered	1	 Modulated Tone	25	2	640264592
640270877	Triggered	4	 NoSound	50	2	640270877
640277222	Triggered	8	 NoSound	50	2	640277222
640282235	Triggered	1	 Modulated Tone	25	2	640282235
640288118	Triggered	4	 NoSound	50	2	640288118
640294267	Triggered	1	 Modulated Tone	25	2	640294267
640297275	Triggered	6	 NoSound	50	2	640297275
640310376	Triggered	1	 Modulated Tone	25	2	640310376
