Ver1.2	2600020219	StartFile	4/12/2020	8:47:55 PM	E:\BehavioralExperiments\Tianqi\RatData_Tianqi\RawData\041220C\SoundData.txt	2600020219
2601879372	Triggered	2	 NoSound	50	2	2601879372
2601888731	Triggered	5	 PureTone-5kHz	50	2	2601888731
2601892604	Triggered	2	 NoSound	50	2	2601892604
2601902631	Triggered	5	 PureTone-5kHz	50	2	2601902631
2601906040	Triggered	2	 NoSound	50	2	2601906040
2601918135	Triggered	5	 PureTone-5kHz	50	2	2601918135
2601922211	Triggered	8	 NoSound	50	2	2601922211
2601937519	Triggered	5	 PureTone-5kHz	50	2	2601937519
2601942002	Triggered	1	 PureTone-5kHz	50	2	2601942002
2601946078	Triggered	4	 NoSound	50	2	2601946078
2601958774	Triggered	1	 PureTone-5kHz	50	2	2601958774
2601962322	Triggered	4	 NoSound	50	2	2601962322
2601972544	Triggered	1	 PureTone-5kHz	50	2	2601972544
2601976353	Triggered	4	 NoSound	50	2	2601976353
2601990727	Triggered	1	 PureTone-5kHz	50	2	2601990727
2601994467	Triggered	4	 NoSound	50	2	2601994467
2602010912	Triggered	1	 PureTone-5kHz	50	2	2602010912
2602015125	Triggered	5	 PureTone-5kHz	50	2	2602015125
2602018805	Triggered	8	 NoSound	50	2	2602018805
2602029091	Triggered	5	 PureTone-5kHz	50	2	2602029091
2602032636	Triggered	8	 NoSound	50	2	2602032636
2602043668	Triggered	5	 PureTone-5kHz	50	2	2602043668
2602046939	Triggered	8	 NoSound	50	2	2602046939
2602057833	Triggered	5	 PureTone-5kHz	50	2	2602057833
2602061441	Triggered	8	 NoSound	50	2	2602061441
2602075480	Triggered	5	 PureTone-5kHz	50	2	2602075480
2602080959	Triggered	1	 PureTone-5kHz	50	2	2602080959
2602085110	Triggered	4	 NoSound	50	2	2602085110
2602101753	Triggered	1	 PureTone-5kHz	50	2	2602101753
2602105490	Triggered	4	 NoSound	50	2	2602105490
2602120531	Triggered	1	 PureTone-5kHz	50	2	2602120531
2602124207	Triggered	4	 NoSound	50	2	2602124207
2602136507	Triggered	1	 PureTone-5kHz	50	2	2602136507
2602141459	Triggered	4	 NoSound	50	2	2602141459
2602154626	Triggered	1	 PureTone-5kHz	50	2	2602154626
2602159363	Triggered	5	 PureTone-5kHz	50	2	2602159363
2602163040	Triggered	2	 NoSound	50	2	2602163040
2602174202	Triggered	5	 PureTone-5kHz	50	2	2602174202
2602178019	Triggered	2	 NoSound	50	2	2602178019
2602189717	Triggered	5	 PureTone-5kHz	50	2	2602189717
2602193724	Triggered	2	 NoSound	50	2	2602193724
2602207089	Triggered	5	 PureTone-5kHz	50	2	2602207089
2602212443	Triggered	2	 NoSound	50	2	2602212443
2602225210	Triggered	5	 PureTone-5kHz	50	2	2602225210
2602229883	Triggered	2	 NoSound	50	2	2602229883
2602234964	Triggered	1	 PureTone-5kHz	50	2	2602234964
2602238838	Triggered	6	 NoSound	50	2	2602238838
2602246530	Triggered	1	 PureTone-5kHz	50	2	2602246530
2602251070	Triggered	6	 NoSound	50	2	2602251070
2602264237	Triggered	1	 PureTone-5kHz	50	2	2602264237
2602270118	Triggered	6	 NoSound	50	2	2602270118
2602287435	Triggered	1	 PureTone-5kHz	50	2	2602287435
2602293720	Triggered	4	 NoSound	50	2	2602293720
2602303539	Triggered	3	 NoSound	50	2	2602303539
2602305015	Triggered	2	 NoSound	50	2	2602305015
2602320586	Triggered	1	 PureTone-5kHz	50	2	2602320586
2602321992	Triggered	2	 NoSound	50	2	2602321992
2602423598	EndFile	Sunday, April 12, 2020	9:27:59 PM	EndFile	EndFile	2602423598
