Ver1.3	506188844	StartFile	12/30/2020	10:13:04 AM	E:\BehavioralExperiments\Ratzo\Horizon\Rawdata\123020\SoundData.txt	506188844
507353224	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507353224
507353425	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	507353425
507361949	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507361949
507362153	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	507362153
507365559	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507365559
507365773	Triggered	2,37,38,39,40,41,	 File_beep5	40	2	507365773
507375727	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507375727
507375930	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	507375930
507379341	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507379341
507379544	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	507379544
507387880	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507387880
507388097	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	507388097
507391430	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507391430
507391631	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	507391631
507404787	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507404787
507404989	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	507404989
507408396	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507408396
507408598	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	507408598
507418384	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507418384
507418586	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	507418586
507422475	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507422475
507440344	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507440344
507440545	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	507440545
507444014	Triggered	8,52,53,54,55,56,	 NoSound	40	2	507444014
507444215	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	507444215
507451715	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	507451715
507451916	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	507451916
507464110	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507464110
507468021	Triggered	4,42,43,44,45,46,	 NoSound	40	2	507468021
507468222	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	507468222
507479693	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507479693
507484627	Triggered	4,42,43,44,45,46,	 NoSound	40	2	507484627
507484829	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	507484829
507512905	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507512905
507518079	Triggered	4,42,43,44,45,46,	 NoSound	40	2	507518079
507528909	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507528909
507529113	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	507529113
507532821	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507532821
507576990	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507576990
507577193	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	507577193
507580297	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507580297
507580499	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	507580499
507593105	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507593105
507593309	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	507593309
507596655	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507596655
507596858	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	507596858
507610553	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507610553
507610755	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	507610755
507614104	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507614104
507614306	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	507614306
507623730	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507623730
507623932	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	507623932
507627459	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507627459
507627661	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	507627661
507636725	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507636725
507636927	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	507636927
507640696	Triggered	6,47,48,49,50,51,	 NoSound	40	2	507640696
507640899	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	507640899
507653333	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	507653333
507653533	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	507653533
507669396	Triggered	2,37,38,39,40,41,	 NoSound	40	2	507669396
507669600	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	507669600
