Ver1.2	2490595078	StartFile	4/11/2020	2:24:10 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041120A\SoundData.txt	2490595078
2492116987	Triggered	4	 NoSound	50	2	2492116988
2492131892	Triggered	1	 PureTone-5kHz	50	2	2492131892
2492135775	Triggered	5	 PureTone-5kHz	50	2	2492135775
2492139049	Triggered	8	 NoSound	50	2	2492139049
2492150214	Triggered	5	 PureTone-5kHz	50	2	2492150214
2492153621	Triggered	8	 NoSound	50	2	2492153621
2492164778	Triggered	5	 PureTone-5kHz	50	2	2492164778
2492167653	Triggered	8	 NoSound	50	2	2492167653
2492179416	Triggered	5	 PureTone-5kHz	50	2	2492179416
2492182629	Triggered	8	 NoSound	50	2	2492182629
2492194060	Triggered	5	 PureTone-5kHz	50	2	2492194060
2492198199	Triggered	1	 PureTone-5kHz	50	2	2492198199
2492201609	Triggered	6	 NoSound	50	2	2492201609
2492218051	Triggered	1	 PureTone-5kHz	50	2	2492218051
2492221260	Triggered	6	 NoSound	50	2	2492221260
2492232823	Triggered	1	 PureTone-5kHz	50	2	2492232823
2492235963	Triggered	6	 NoSound	50	2	2492235963
2492248062	Triggered	1	 PureTone-5kHz	50	2	2492248062
2492252281	Triggered	6	 NoSound	50	2	2492252281
2492265174	Triggered	1	 PureTone-5kHz	50	2	2492265174
2492268988	Triggered	5	 PureTone-5kHz	50	2	2492268988
2492272126	Triggered	8	 NoSound	50	2	2492272126
2492307685	Triggered	5	 PureTone-5kHz	50	2	2492307685
2492311026	Triggered	8	 NoSound	50	2	2492311026
2492322522	Triggered	5	 PureTone-5kHz	50	2	2492322522
2492325605	Triggered	8	 NoSound	50	2	2492325605
2492336830	Triggered	5	 PureTone-5kHz	50	2	2492336830
2492340034	Triggered	8	 NoSound	50	2	2492340034
2492391174	Triggered	5	 PureTone-5kHz	50	2	2492391174
2492395914	Triggered	1	 PureTone-5kHz	50	2	2492395914
2492399059	Triggered	6	 NoSound	50	2	2492399059
2492410352	Triggered	1	 PureTone-5kHz	50	2	2492410352
2492413627	Triggered	6	 NoSound	50	2	2492413627
2492425056	Triggered	1	 PureTone-5kHz	50	2	2492425056
2492428129	Triggered	6	 NoSound	50	2	2492428129
2492439032	Triggered	1	 PureTone-5kHz	50	2	2492439032
2492442441	Triggered	4	 NoSound	50	2	2492442441
2492458880	Triggered	1	 PureTone-5kHz	50	2	2492458880
2492463224	Triggered	5	 PureTone-5kHz	50	2	2492463224
2492466698	Triggered	2	 NoSound	50	2	2492466698
2492486550	Triggered	5	 PureTone-5kHz	50	2	2492486550
2492558939	Triggered	2	 NoSound	50	2	2492558939
2492569102	Triggered	5	 PureTone-5kHz	50	2	2492569102
2492572513	Triggered	2	 NoSound	50	2	2492572513
