Ver1.2	2739292400	StartFile	4/14/2020	11:29:08 AM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041420A\SoundData.txt	2739292400
2740938744	Triggered	1	 Modulated Tone	25	2	2740938744
2740942153	Triggered	4	 NoSound	50	2	2740942153
2740952977	Triggered	1	 Modulated Tone	25	2	2740952977
2740956456	Triggered	4	 NoSound	50	2	2740956456
2740973036	Triggered	1	 Modulated Tone	25	2	2740973036
2740976372	Triggered	4	 NoSound	50	2	2740976372
2740989811	Triggered	1	 Modulated Tone	25	2	2740989811
2740993085	Triggered	4	 NoSound	50	2	2740993085
2741010128	Triggered	1	 Modulated Tone	25	2	2741010128
2741013473	Triggered	4	 NoSound	50	2	2741013473
2741026301	Triggered	1	 Modulated Tone	25	2	2741026301
2741029580	Triggered	4	 NoSound	50	2	2741029580
2741042412	Triggered	1	 Modulated Tone	25	2	2741042412
2741046428	Triggered	5	 Modulated Tone	25	2	2741046428
2741049896	Triggered	8	 NoSound	50	2	2741049896
2741084856	Triggered	6	 NoSound	50	2	2741084856
2741100029	Triggered	5	 Modulated Tone	25	2	2741100029
2741104238	Triggered	8	 NoSound	50	2	2741104238
2741112064	Triggered	5	 Modulated Tone	25	2	2741112064
2741118143	Triggered	1	 Modulated Tone	25	2	2741118143
2741127498	Triggered	8	 NoSound	50	2	2741127498
2741137527	Triggered	5	 Modulated Tone	25	2	2741137527
2741141001	Triggered	2	 NoSound	50	2	2741141001
2741154168	Triggered	5	 Modulated Tone	25	2	2741154168
2741158046	Triggered	2	 NoSound	50	2	2741158046
2741170618	Triggered	5	 Modulated Tone	25	2	2741170618
2741174421	Triggered	2	 NoSound	50	2	2741174421
2741193270	Triggered	5	 Modulated Tone	25	2	2741193270
2741196948	Triggered	2	 NoSound	50	2	2741196948
2741210316	Triggered	5	 Modulated Tone	25	2	2741210316
2741214190	Triggered	2	 NoSound	50	2	2741214190
2741226224	Triggered	5	 Modulated Tone	25	2	2741226224
2741229899	Triggered	2	 NoSound	50	2	2741229899
2741244136	Triggered	5	 Modulated Tone	25	2	2741244136
2741264326	Triggered	1	 Modulated Tone	25	2	2741264326
2741267730	Triggered	4	 NoSound	50	2	2741267730
2741277290	Triggered	1	 Modulated Tone	25	2	2741277290
2741281366	Triggered	4	 NoSound	50	2	2741281366
2741297208	Triggered	1	 Modulated Tone	25	2	2741297208
2741300750	Triggered	4	 NoSound	50	2	2741300750
2741309975	Triggered	1	 Modulated Tone	25	2	2741309975
2741313449	Triggered	6	 NoSound	50	2	2741313449
2741330962	Triggered	1	 Modulated Tone	25	2	2741330962
2741334308	Triggered	6	 NoSound	50	2	2741334308
2741341523	Triggered	1	 Modulated Tone	25	2	2741341523
2741345941	Triggered	4	 NoSound	50	2	2741345941
2741355828	Triggered	1	 Modulated Tone	25	2	2741355828
2741359372	Triggered	6	 NoSound	50	2	2741359372
2741368195	Triggered	1	 Modulated Tone	25	2	2741368195
2741372209	Triggered	4	 NoSound	50	2	2741372209
2741380090	Triggered	1	 Modulated Tone	25	2	2741380090
2741384434	Triggered	6	 NoSound	50	2	2741384434
2741434034	Triggered	1	 Modulated Tone	25	2	2741434034
2741439719	Triggered	5	 Modulated Tone	25	2	2741439719
2741443190	Triggered	8	 NoSound	50	2	2741443190
2741458495	Triggered	5	 Modulated Tone	25	2	2741458495
2741499067	Triggered	1	 Modulated Tone	25	2	2741499067
2741513772	Triggered	8	 NoSound	50	2	2741513772
2741525141	Triggered	5	 Modulated Tone	25	2	2741525141
2741530417	Triggered	8	 NoSound	50	2	2741530417
2741538640	Triggered	5	 Modulated Tone	25	2	2741538640
2741541984	Triggered	2	 NoSound	50	2	2741541984
2741553008	Triggered	5	 Modulated Tone	25	2	2741553008
2741559492	Triggered	4	 NoSound	50	2	2741559492
2741585829	Triggered	5	 Modulated Tone	25	2	2741585829
2741599596	Triggered	2	 NoSound	50	2	2741599596
2741613235	Triggered	5	 Modulated Tone	25	2	2741613235
2741616975	Triggered	2	 NoSound	50	2	2741616975
2741625601	Triggered	5	 Modulated Tone	25	2	2741625601
2741629340	Triggered	2	 NoSound	50	2	2741629340
2741638498	Triggered	5	 Modulated Tone	25	2	2741638498
2741642107	Triggered	2	 NoSound	50	2	2741642107
2741652740	Triggered	5	 Modulated Tone	25	2	2741652740
2741656344	Triggered	2	 NoSound	50	2	2741656344
2741665570	Triggered	5	 Modulated Tone	25	2	2741665570
2741669979	Triggered	1	 Modulated Tone	25	2	2741669979
2741673327	Triggered	6	 NoSound	50	2	2741673327
2741685954	Triggered	1	 Modulated Tone	25	2	2741685954
2741689765	Triggered	6	 NoSound	50	2	2741689765
