Ver1.2	11124449	StartFile	4/16/2020	7:58:03 PM	E:\BehavioralExperiments\Hachi\RawData\041620\SoundData.txt	11124449
13494888	Triggered	1	 Modulated Tone	25	2	13494888
13497965	Triggered	6	 NoSound	50	2	13497965
13511263	Triggered	1	 Modulated Tone	25	2	13511263
13514547	Triggered	6	 NoSound	50	2	13514547
13528180	Triggered	1	 Modulated Tone	25	2	13528180
13531654	Triggered	6	 NoSound	50	2	13531654
13547028	Triggered	1	 Modulated Tone	25	2	13547028
13550632	Triggered	6	 NoSound	50	2	13550632
13562531	Triggered	1	 Modulated Tone	25	2	13562531
13566139	Triggered	6	 NoSound	50	2	13566139
13576567	Triggered	1	 Modulated Tone	25	2	13576567
13580648	Triggered	6	 NoSound	50	2	13580648
13593678	Triggered	1	 Modulated Tone	25	2	13593678
13906163	Triggered	4	 NoSound	50	2	13906164
13938983	Triggered	5	 Modulated Tone	25	2	13938983
13943459	Triggered	2	 NoSound	50	2	13943459
13970936	Triggered	5	 Modulated Tone	25	2	13970936
13974937	Triggered	2	 NoSound	50	2	13974937
13985898	Triggered	5	 Modulated Tone	25	2	13985898
13990310	Triggered	2	 NoSound	50	2	13990310
13999069	Triggered	5	 Modulated Tone	25	2	13999069
14003543	Triggered	8	 NoSound	50	2	14003543
14023471	Triggered	5	 Modulated Tone	25	2	14023471
14026615	Triggered	8	 NoSound	50	2	14026615
14044184	Triggered	5	 Modulated Tone	25	2	14044184
14047267	Triggered	8	 NoSound	50	2	14047267
14066716	Triggered	5	 Modulated Tone	25	2	14066716
14069921	Triggered	8	 NoSound	50	2	14069921
14087767	Triggered	5	 Modulated Tone	25	2	14087767
14090972	Triggered	8	 NoSound	50	2	14090972
14109695	Triggered	5	 Modulated Tone	25	2	14109695
14113169	Triggered	8	 NoSound	50	2	14113169
14130748	Triggered	5	 Modulated Tone	25	2	14130748
14169510	Triggered	1	 Modulated Tone	25	2	14169510
14178005	Triggered	6	 NoSound	50	2	14178005
14190899	Triggered	1	 Modulated Tone	25	2	14190899
14194786	Triggered	6	 NoSound	50	2	14194786
14204870	Triggered	1	 Modulated Tone	25	2	14204870
14208613	Triggered	6	 NoSound	50	2	14208613
14225458	Triggered	5	 Modulated Tone	25	2	14225458
14267772	Triggered	1	 Modulated Tone	25	2	14267772
14274524	Triggered	6	 NoSound	50	2	14274524
14287825	Triggered	2	 NoSound	50	2	14287825
