Ver1.3	763810486	StartFile	12/18/2020	2:34:49 PM	E:\BehavioralExperiments\Twenty\Horizon\RawData\121820\SoundData.txt	763810486
764814224	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	764814224
764820706	Triggered	8,52,53,54,55,56,	 NoSound	40	2	764820706
764820908	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	764820908
764832603	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	764832603
764832805	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	764832805
764847443	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764847443
764847645	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764847645
764860743	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764860743
764864553	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764864553
764864755	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764864755
764880128	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764880128
764883470	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764883470
764883671	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764883671
764898642	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764898642
764898847	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	764898847
764901985	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764901985
764902187	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764902187
764916763	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764916763
764916967	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	764916967
764920031	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764920031
764920232	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764920233
764934937	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764934937
764935140	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	764935140
764938814	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764938814
764939016	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764939016
764961272	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764961272
764961475	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	764961475
764964353	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764964353
764964556	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764964556
764983931	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	764983931
764984144	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	764984144
764987273	Triggered	6,47,48,49,50,51,	 NoSound	40	2	764987273
764987475	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	764987475
765000441	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	765000441
