Ver1.2	2225699723	StartFile	4/8/2020	12:49:15 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\040820\Run 2\SoundData.txt	2225699723
2226918128	Triggered	5	 PureTone-5kHz	50	2	2226918128
2226920802	Triggered	8	 NoSound	50	2	2226920802
2226940792	Triggered	5	 PureTone-5kHz	50	2	2226940792
2226943733	Triggered	8	 NoSound	50	2	2226943733
2226958634	Triggered	5	 PureTone-5kHz	50	2	2226958634
2226961308	Triggered	8	 NoSound	50	2	2226961308
2226979489	Triggered	5	 PureTone-5kHz	50	2	2226979489
2226989448	Triggered	1	 PureTone-5kHz	50	2	2226989448
2226992523	Triggered	6	 NoSound	50	2	2226992523
2227000284	Triggered	1	 PureTone-5kHz	50	2	2227000284
2227003551	Triggered	6	 NoSound	50	2	2227003551
2227011037	Triggered	1	 PureTone-5kHz	50	2	2227011037
2227013979	Triggered	6	 NoSound	50	2	2227013979
2227021601	Triggered	1	 PureTone-5kHz	50	2	2227021601
2227024941	Triggered	4	 NoSound	50	2	2227024941
2227031759	Triggered	1	 PureTone-5kHz	50	2	2227031759
2227035976	Triggered	5	 PureTone-5kHz	50	2	2227035976
2227038977	Triggered	8	 NoSound	50	2	2227038977
2227046730	Triggered	5	 PureTone-5kHz	50	2	2227046730
2227049739	Triggered	8	 NoSound	50	2	2227049739
2227056490	Triggered	5	 PureTone-5kHz	50	2	2227056490
2227059900	Triggered	8	 NoSound	50	2	2227059900
2227068186	Triggered	5	 PureTone-5kHz	50	2	2227068186
2227072265	Triggered	8	 NoSound	50	2	2227072265
2227080353	Triggered	5	 PureTone-5kHz	50	2	2227080353
2227084432	Triggered	1	 PureTone-5kHz	50	2	2227084432
2227087508	Triggered	6	 NoSound	50	2	2227087508
2227095659	Triggered	1	 PureTone-5kHz	50	2	2227095659
2227099266	Triggered	6	 NoSound	50	2	2227099266
2227134360	Triggered	7	 NoSound	50	2	2227134360
2227135963	Triggered	8	 NoSound	50	2	2227135963
2227143587	Triggered	1	 PureTone-5kHz	50	2	2227143587
2227148200	Triggered	6	 NoSound	50	2	2227148200
2227153210	Triggered	1	 PureTone-5kHz	50	2	2227153210
2227156215	Triggered	4	 NoSound	50	2	2227156215
2227170319	Triggered	1	 PureTone-5kHz	50	2	2227170319
2227174329	Triggered	5	 PureTone-5kHz	50	2	2227174329
2227177477	Triggered	2	 NoSound	50	2	2227177477
2227185023	Triggered	5	 PureTone-5kHz	50	2	2227185023
2227201674	Triggered	6	 NoSound	50	2	2227201674
2227206086	Triggered	2	 NoSound	50	2	2227206086
2227215637	Triggered	5	 PureTone-5kHz	50	2	2227215637
2227218712	Triggered	2	 NoSound	50	2	2227218712
2227223330	Triggered	5	 PureTone-5kHz	50	2	2227223330
2227226065	Triggered	8	 NoSound	50	2	2227226065
2227238297	Triggered	5	 PureTone-5kHz	50	2	2227238297
2227241838	Triggered	1	 PureTone-5kHz	50	2	2227241838
2227244919	Triggered	6	 NoSound	50	2	2227244919
2227254070	Triggered	1	 PureTone-5kHz	50	2	2227254070
2227257345	Triggered	6	 NoSound	50	2	2227257345
2227263829	Triggered	1	 PureTone-5kHz	50	2	2227263829
2227267239	Triggered	6	 NoSound	50	2	2227267239
2227273588	Triggered	1	 PureTone-5kHz	50	2	2227273588
2227277401	Triggered	4	 NoSound	50	2	2227277401
2227295584	Triggered	1	 PureTone-5kHz	50	2	2227295584
2227300333	Triggered	5	 PureTone-5kHz	50	2	2227300333
2227303404	Triggered	8	 NoSound	50	2	2227303404
2227319041	Triggered	5	 PureTone-5kHz	50	2	2227319041
2227322189	Triggered	8	 NoSound	50	2	2227322189
2227340296	Triggered	5	 PureTone-5kHz	50	2	2227340296
2227343303	Triggered	8	 NoSound	50	2	2227343303
2227358810	Triggered	5	 PureTone-5kHz	50	2	2227358810
2227362289	Triggered	8	 NoSound	50	2	2227362289
2227383409	Triggered	5	 PureTone-5kHz	50	2	2227383409
2227402392	Triggered	4	 NoSound	50	2	2227402392
2227420973	Triggered	1	 PureTone-5kHz	50	2	2227420973
2227423712	Triggered	4	 NoSound	50	2	2227423712
2227439091	Triggered	1	 PureTone-5kHz	50	2	2227439091
2227442166	Triggered	4	 NoSound	50	2	2227442166
2227457740	Triggered	1	 PureTone-5kHz	50	2	2227457740
2227461344	Triggered	4	 NoSound	50	2	2227461344
2227476787	Triggered	1	 PureTone-5kHz	50	2	2227476787
2227480394	Triggered	4	 NoSound	50	2	2227480394
2227494501	Triggered	1	 PureTone-5kHz	50	2	2227494501
2227499043	Triggered	5	 PureTone-5kHz	50	2	2227499043
2227502193	Triggered	8	 NoSound	50	2	2227502193
2227515220	Triggered	5	 PureTone-5kHz	50	2	2227515220
2227518573	Triggered	8	 NoSound	50	2	2227518573
2227533867	Triggered	5	 PureTone-5kHz	50	2	2227533867
2227537009	Triggered	8	 NoSound	50	2	2227537009
2227549575	Triggered	5	 PureTone-5kHz	50	2	2227549575
2227553050	Triggered	8	 NoSound	50	2	2227553050
2227565823	Triggered	5	 PureTone-5kHz	50	2	2227565823
2227570029	Triggered	1	 PureTone-5kHz	50	2	2227570029
2227573304	Triggered	4	 NoSound	50	2	2227573304
2227610470	Triggered	1	 PureTone-5kHz	50	2	2227610470
2227614878	Triggered	4	 NoSound	50	2	2227614878
2227628981	Triggered	1	 PureTone-5kHz	50	2	2227628981
2227632523	Triggered	4	 NoSound	50	2	2227632523
2227646632	Triggered	1	 PureTone-5kHz	50	2	2227646632
2227651509	Triggered	4	 NoSound	50	2	2227651509
2227665614	Triggered	1	 PureTone-5kHz	50	2	2227665614
2227670087	Triggered	5	 PureTone-5kHz	50	2	2227670087
2227673296	Triggered	8	 NoSound	50	2	2227673296
2227687268	Triggered	5	 PureTone-5kHz	50	2	2227687268
2227703776	Triggered	7	 NoSound	50	2	2227703776
2227762399	Triggered	8	 NoSound	50	2	2227762399
2227771959	Triggered	5	 PureTone-5kHz	50	2	2227771959
2227775496	Triggered	8	 NoSound	50	2	2227775496
2227796152	Triggered	7	 NoSound	50	2	2227796152
2227798291	Triggered	6	 NoSound	50	2	2227798291
2227809386	Triggered	5	 PureTone-5kHz	50	2	2227809386
2227813729	Triggered	8	 NoSound	50	2	2227813729
2227826030	Triggered	5	 PureTone-5kHz	50	2	2227826030
2227831043	Triggered	1	 PureTone-5kHz	50	2	2227831043
2227834389	Triggered	4	 NoSound	50	2	2227834389
2227855972	Triggered	1	 PureTone-5kHz	50	2	2227855972
2227859922	Triggered	4	 NoSound	50	2	2227859922
2227870878	Triggered	1	 PureTone-5kHz	50	2	2227870878
2227878498	Triggered	4	 NoSound	50	2	2227878498
2227896884	Triggered	3	 NoSound	50	2	2227896884
2227901291	Triggered	2	 NoSound	50	2	2227901291
2227920952	Triggered	1	 PureTone-5kHz	50	2	2227920952
2227924820	Triggered	6	 NoSound	50	2	2227924820
2227942798	Triggered	1	 PureTone-5kHz	50	2	2227942798
2227947478	Triggered	5	 PureTone-5kHz	50	2	2227947478
2227950953	Triggered	2	 NoSound	50	2	2227950953
2227963791	Triggered	5	 PureTone-5kHz	50	2	2227963791
2227967868	Triggered	2	 NoSound	50	2	2227967868
2227981968	Triggered	5	 PureTone-5kHz	50	2	2227981968
2227986045	Triggered	2	 NoSound	50	2	2227986045
2228000082	Triggered	5	 PureTone-5kHz	50	2	2228000082
2228004493	Triggered	2	 NoSound	50	2	2228004493
2228019670	Triggered	5	 PureTone-5kHz	50	2	2228019670
2228036509	Triggered	1	 PureTone-5kHz	50	2	2228036509
2228040458	Triggered	6	 NoSound	50	2	2228040458
2228097140	Triggered	1	 PureTone-5kHz	50	2	2228097140
2228102217	Triggered	6	 NoSound	50	2	2228102217
2228109369	Triggered	1	 PureTone-5kHz	50	2	2228109369
2228119728	Triggered	5	 PureTone-5kHz	50	2	2228119728
2228224270	Triggered	2	 NoSound	50	2	2228224270
2228238112	Triggered	6	 NoSound	50	2	2228238112
2228250804	Triggered	1	 PureTone-5kHz	50	2	2228250804
2228255079	Triggered	4	 NoSound	50	2	2228255079
2228270457	Triggered	1	 PureTone-5kHz	50	2	2228270457
2228277070	Triggered	5	 PureTone-5kHz	50	2	2228277070
2228280816	Triggered	2	 NoSound	50	2	2228280816
2228296987	Triggered	5	 PureTone-5kHz	50	2	2228296987
2228300733	Triggered	2	 NoSound	50	2	2228300733
2228316646	Triggered	5	 PureTone-5kHz	50	2	2228316646
2228320449	Triggered	2	 NoSound	50	2	2228320449
2228336692	Triggered	5	 PureTone-5kHz	50	2	2228336692
2228340704	Triggered	8	 NoSound	50	2	2228340704
