Ver1.3	486570652	StartFile	11/16/2020	9:40:07 AM	E:\BehavioralExperiments\Bobo\RawData\111620\SoundData.txt	486570652
488990434	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	488990434
488994166	Triggered	8,52,53,54,55,56,	 NoSound	40	2	488994166
488994367	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	488994367
489013079	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489013079
489013282	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	489013282
489017162	Triggered	8,52,53,54,55,56,	 NoSound	40	2	489017162
489017363	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	489017363
489028252	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489028252
489028456	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	489028456
489032396	Triggered	2,37,38,39,40,41,	 NoSound	40	2	489032396
489032597	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	489032597
489051914	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489051915
489052117	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	489052117
489055857	Triggered	8,52,53,54,55,56,	 NoSound	40	2	489055857
489056058	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	489056058
489063545	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489063545
489063747	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	489063747
489068023	Triggered	2,37,38,39,40,41,	 NoSound	40	2	489068023
489068224	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	489068224
489079854	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489079854
489080056	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	489080056
489084197	Triggered	2,37,38,39,40,41,	 NoSound	40	2	489084197
489084399	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	489084399
489111135	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	489111135
489111336	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	489111336
489137611	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489137611
489141347	Triggered	6,47,48,49,50,51,	 NoSound	40	2	489141347
489141547	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	489141547
489160398	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489160398
489165149	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489165149
489165350	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489165350
489180783	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489180783
489185328	Triggered	6,47,48,49,50,51,	 NoSound	40	2	489185328
489185529	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	489185529
489194753	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489194753
489198970	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489198970
489199172	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489199172
489211730	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489211730
489211935	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	489211935
489215808	Triggered	6,47,48,49,50,51,	 NoSound	40	2	489215808
489216009	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	489216009
489224097	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489224097
489224299	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	489224299
489228240	Triggered	6,47,48,49,50,51,	 NoSound	40	2	489228240
489228441	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	489228441
489237404	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489237404
489237609	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	489237609
489241341	Triggered	6,47,48,49,50,51,	 NoSound	40	2	489241341
489241542	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	489241542
489249628	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489249628
489249831	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	489249831
489270284	Triggered	4,42,43,44,45,46,	 NoSound	40	2	489270284
489270486	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	489270486
489282983	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	489282983
489283186	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	489283186
489287929	Triggered	6,47,48,49,50,51,	 NoSound	40	2	489287929
489288130	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	489288130
