Ver1.2	251098021	StartFile	4/19/2020	2:37:36 PM	E:\BehavioralExperiments\Tianqi\Horizon\RawData\041920A\SoundData.txt	251098021
252475993	Triggered	8	 NoSound	50	2	252475993
252489700	Triggered	5	 Modulated Tone	25	2	252489700
252492443	Triggered	8	 NoSound	50	2	252492443
252505676	Triggered	5	 Modulated Tone	25	2	252505676
252508145	Triggered	8	 NoSound	50	2	252508145
252525189	Triggered	5	 Modulated Tone	25	2	252525189
252528464	Triggered	8	 NoSound	50	2	252528464
252542501	Triggered	5	 Modulated Tone	25	2	252542501
252545314	Triggered	8	 NoSound	50	2	252545314
252562091	Triggered	5	 Modulated Tone	25	2	252562091
252566172	Triggered	1	 Modulated Tone	25	2	252566172
252569573	Triggered	6	 NoSound	50	2	252569573
252575459	Triggered	1	 Modulated Tone	25	2	252575459
252584209	Triggered	1	 Modulated Tone	25	2	252584209
252592029	Triggered	6	 NoSound	50	2	252592029
252597447	Triggered	1	 Modulated Tone	25	2	252597447
252602459	Triggered	5	 Modulated Tone	25	2	252602459
252609542	Triggered	6	 NoSound	50	2	252609542
252615825	Triggered	1	 Modulated Tone	25	2	252615825
252618832	Triggered	4	 NoSound	50	2	252618832
252633540	Triggered	1	 Modulated Tone	25	2	252633540
252637147	Triggered	6	 NoSound	50	2	252637147
252643363	Triggered	1	 Modulated Tone	25	2	252643363
252649111	Triggered	4	 NoSound	50	2	252649111
252663291	Triggered	1	 Modulated Tone	25	2	252663291
252666356	Triggered	4	 NoSound	50	2	252666356
252676517	Triggered	1	 Modulated Tone	25	2	252676517
252679791	Triggered	4	 NoSound	50	2	252679791
252691297	Triggered	1	 Modulated Tone	25	2	252691297
252694632	Triggered	4	 NoSound	50	2	252694632
252704656	Triggered	1	 Modulated Tone	25	2	252704656
252708666	Triggered	5	 Modulated Tone	25	2	252708666
252711809	Triggered	2	 NoSound	50	2	252711809
252718699	Triggered	5	 Modulated Tone	25	2	252718699
252722240	Triggered	2	 NoSound	50	2	252722240
252730662	Triggered	5	 Modulated Tone	25	2	252730662
252735203	Triggered	2	 NoSound	50	2	252735203
252743025	Triggered	5	 Modulated Tone	25	2	252743025
252747503	Triggered	8	 NoSound	50	2	252747503
252758402	Triggered	5	 Modulated Tone	25	2	252758402
252761213	Triggered	8	 NoSound	50	2	252761213
252772566	Triggered	5	 Modulated Tone	25	2	252772566
252775509	Triggered	8	 NoSound	50	2	252775509
252787812	Triggered	5	 Modulated Tone	25	2	252787812
252790682	Triggered	8	 NoSound	50	2	252790682
252802046	Triggered	5	 Modulated Tone	25	2	252802046
252805195	Triggered	8	 NoSound	50	2	252805195
252818621	Triggered	5	 Modulated Tone	25	2	252818621
252821767	Triggered	8	 NoSound	50	2	252821767
252834465	Triggered	5	 Modulated Tone	25	2	252834465
252841480	Triggered	1	 Modulated Tone	25	2	252841480
252844893	Triggered	6	 NoSound	50	2	252844893
252852846	Triggered	1	 Modulated Tone	25	2	252852846
252856852	Triggered	6	 NoSound	50	2	252856852
252863474	Triggered	1	 Modulated Tone	25	2	252863474
252868949	Triggered	6	 NoSound	50	2	252868949
252933718	Triggered	1	 Modulated Tone	25	2	252933718
252939074	Triggered	4	 NoSound	50	2	252939074
252945817	Triggered	1	 Modulated Tone	25	2	252945817
252949830	Triggered	6	 NoSound	50	2	252949830
252961198	Triggered	1	 Modulated Tone	25	2	252961198
252965542	Triggered	6	 NoSound	50	2	252965542
252972354	Triggered	1	 Modulated Tone	25	2	252972354
252976298	Triggered	6	 NoSound	50	2	252976298
252983922	Triggered	1	 Modulated Tone	25	2	252983922
252987460	Triggered	4	 NoSound	50	2	252987460
252993676	Triggered	1	 Modulated Tone	25	2	252993676
252998555	Triggered	6	 NoSound	50	2	252998555
253007317	Triggered	1	 Modulated Tone	25	2	253007317
253011390	Triggered	5	 Modulated Tone	25	2	253011390
253014999	Triggered	2	 NoSound	50	2	253014999
253026829	Triggered	5	 Modulated Tone	25	2	253026829
253030370	Triggered	2	 NoSound	50	2	253030370
253042068	Triggered	5	 Modulated Tone	25	2	253042068
253045615	Triggered	2	 NoSound	50	2	253045615
253056372	Triggered	5	 Modulated Tone	25	2	253056372
253060659	Triggered	2	 NoSound	50	2	253060659
253071417	Triggered	5	 Modulated Tone	25	2	253071417
253075556	Triggered	2	 NoSound	50	2	253075556
253089258	Triggered	5	 Modulated Tone	25	2	253089258
253092935	Triggered	2	 NoSound	50	2	253092935
253104634	Triggered	5	 Modulated Tone	25	2	253104634
253108109	Triggered	2	 NoSound	50	2	253108109
253121275	Triggered	5	 Modulated Tone	25	2	253121275
253125555	Triggered	2	 NoSound	50	2	253125555
253138392	Triggered	5	 Modulated Tone	25	2	253138392
253142197	Triggered	2	 NoSound	50	2	253142197
253153359	Triggered	5	 Modulated Tone	25	2	253153359
253158237	Triggered	1	 Modulated Tone	25	2	253158237
253161914	Triggered	6	 NoSound	50	2	253161914
253213248	Triggered	1	 Modulated Tone	25	2	253213248
253217062	Triggered	6	 NoSound	50	2	253217062
253229092	Triggered	1	 Modulated Tone	25	2	253229092
253232905	Triggered	6	 NoSound	50	2	253232905
253243259	Triggered	1	 Modulated Tone	25	2	253243259
253247878	Triggered	6	 NoSound	50	2	253247878
253257103	Triggered	1	 Modulated Tone	25	2	253257103
253261105	Triggered	6	 NoSound	50	2	253261105
253271199	Triggered	1	 Modulated Tone	25	2	253271199
253275476	Triggered	6	 NoSound	50	2	253275476
253284835	Triggered	1	 Modulated Tone	25	2	253284835
253288979	Triggered	6	 NoSound	50	2	253288979
253300476	Triggered	1	 Modulated Tone	25	2	253300476
253304964	Triggered	6	 NoSound	50	2	253304964
253316456	Triggered	1	 Modulated Tone	25	2	253316456
253320860	Triggered	6	 NoSound	50	2	253320860
254142402	Triggered	1	 Modulated Tone	25	2	254142402
254147548	Triggered	5	 Modulated Tone	25	2	254147548
254151493	Triggered	8	 NoSound	50	2	254151493
254164794	Triggered	5	 Modulated Tone	25	2	254164794
254168075	Triggered	8	 NoSound	50	2	254168075
254180369	Triggered	5	 Modulated Tone	25	2	254180369
254183841	Triggered	8	 NoSound	50	2	254183841
254198691	Triggered	5	 Modulated Tone	25	2	254198691
254201889	Triggered	8	 NoSound	50	2	254201889
254214723	Triggered	5	 Modulated Tone	25	2	254214723
254217999	Triggered	8	 NoSound	50	2	254217999
254233307	Triggered	5	 Modulated Tone	25	2	254233307
254237994	Triggered	2	 NoSound	50	2	254237994
254245872	Triggered	5	 Modulated Tone	25	2	254245872
254250817	Triggered	8	 NoSound	50	2	254250817
254269539	Triggered	5	 Modulated Tone	25	2	254269539
254273141	Triggered	8	 NoSound	50	2	254273141
254285975	Triggered	5	 Modulated Tone	25	2	254285975
254290734	Triggered	8	 NoSound	50	2	254290734
254304361	Triggered	5	 Modulated Tone	25	2	254304361
254308632	Triggered	1	 Modulated Tone	25	2	254308632
254312715	Triggered	4	 NoSound	50	2	254312715
254335303	Triggered	1	 Modulated Tone	25	2	254335303
254342594	Triggered	4	 NoSound	50	2	254342594
254351284	Triggered	1	 Modulated Tone	25	2	254351284
254358436	Triggered	5	 Modulated Tone	25	2	254358436
254364113	Triggered	4	 NoSound	50	2	254364113
254367463	Triggered	3	 NoSound	50	2	254367463
254370661	Triggered	1	 Modulated Tone	25	2	254370661
254374539	Triggered	6	 NoSound	50	2	254374540
254385836	Triggered	1	 Modulated Tone	25	2	254385836
254389783	Triggered	6	 NoSound	50	2	254389783
254399942	Triggered	1	 Modulated Tone	25	2	254399942
254404085	Triggered	6	 NoSound	50	2	254404085
254414180	Triggered	1	 Modulated Tone	25	2	254414180
254418053	Triggered	6	 NoSound	50	2	254418053
254427679	Triggered	1	 Modulated Tone	25	2	254427679
254431956	Triggered	6	 NoSound	50	2	254431956
254442720	Triggered	1	 Modulated Tone	25	2	254442720
254452742	Triggered	6	 NoSound	50	2	254452742
254463907	Triggered	1	 Modulated Tone	25	2	254463907
254468786	Triggered	5	 Modulated Tone	25	2	254468786
254472938	Triggered	2	 NoSound	50	2	254472938
254480492	Triggered	5	 Modulated Tone	25	2	254480492
254484358	Triggered	2	 NoSound	50	2	254484358
254493450	Triggered	5	 Modulated Tone	25	2	254493450
254497325	Triggered	2	 NoSound	50	2	254497325
254506554	Triggered	5	 Modulated Tone	25	2	254506554
254511167	Triggered	8	 NoSound	50	2	254511167
254527012	Triggered	5	 Modulated Tone	25	2	254527012
254531217	Triggered	2	 NoSound	50	2	254531217
254538305	Triggered	5	 Modulated Tone	25	2	254538305
254543846	Triggered	2	 NoSound	50	2	254543846
254551466	Triggered	5	 Modulated Tone	25	2	254551466
254556547	Triggered	2	 NoSound	50	2	254556547
254564441	Triggered	5	 Modulated Tone	25	2	254564441
254570116	Triggered	2	 NoSound	50	2	254570116
254578544	Triggered	5	 Modulated Tone	25	2	254578544
254584426	Triggered	8	 NoSound	50	2	254584426
254597255	Triggered	5	 Modulated Tone	25	2	254597255
254601865	Triggered	1	 Modulated Tone	25	2	254601865
254606210	Triggered	4	 NoSound	50	2	254606210
254616104	Triggered	1	 Modulated Tone	25	2	254616104
254620662	Triggered	4	 NoSound	50	2	254620662
254682616	Triggered	1	 Modulated Tone	25	2	254682616
254688957	Triggered	4	 NoSound	50	2	254688957
254700054	Triggered	1	 Modulated Tone	25	2	254700054
254705001	Triggered	6	 NoSound	50	2	254705001
254716634	Triggered	1	 Modulated Tone	25	2	254716634
254720775	Triggered	6	 NoSound	50	2	254720775
254731744	Triggered	1	 Modulated Tone	25	2	254731744
254735815	Triggered	6	 NoSound	50	2	254735815
254746642	Triggered	1	 Modulated Tone	25	2	254746642
254750996	Triggered	6	 NoSound	50	2	254750996
254761820	Triggered	1	 Modulated Tone	25	2	254761820
254766225	Triggered	6	 NoSound	50	2	254766225
254776922	Triggered	1	 Modulated Tone	25	2	254776922
254781269	Triggered	6	 NoSound	50	2	254781269
254792295	Triggered	1	 Modulated Tone	25	2	254792295
254798110	Triggered	5	 Modulated Tone	25	2	254798110
254801925	Triggered	2	 NoSound	50	2	254801925
254809476	Triggered	5	 Modulated Tone	25	2	254809476
254813556	Triggered	2	 NoSound	50	2	254813556
254821235	Triggered	5	 Modulated Tone	25	2	254821235
254825319	Triggered	2	 NoSound	50	2	254825319
254832936	Triggered	5	 Modulated Tone	25	2	254832936
254836750	Triggered	8	 NoSound	50	2	254836750
254850720	Triggered	5	 Modulated Tone	25	2	254850720
254854463	Triggered	8	 NoSound	50	2	254854463
254867089	Triggered	5	 Modulated Tone	25	2	254867089
254870572	Triggered	8	 NoSound	50	2	254870573
254884002	Triggered	5	 Modulated Tone	25	2	254884002
254887417	Triggered	8	 NoSound	50	2	254887417
254899772	Triggered	5	 Modulated Tone	25	2	254899772
254903386	Triggered	8	 NoSound	50	2	254903386
254929184	Triggered	7	 NoSound	50	2	254929184
254931263	Triggered	6	 NoSound	50	2	254931263
254938139	Triggered	5	 Modulated Tone	25	2	254938139
254942559	Triggered	8	 NoSound	50	2	254942559
254954450	Triggered	5	 Modulated Tone	25	2	254954450
254959599	Triggered	1	 Modulated Tone	25	2	254959599
254963874	Triggered	6	 NoSound	50	2	254963874
