Ver1.2	457775165	StartFile	2/20/2020	9:50:27 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\022020\SoundData.txt	457775165
459890527	Triggered	1	 Modulated Tone	25	2	459890527
459904096	Triggered	4	 NoSound	50	2	459904096
459914055	Triggered	1	 Modulated Tone	25	2	459914055
459922142	Triggered	4	 NoSound	50	2	459922142
459932570	Triggered	1	 Modulated Tone	25	2	459932570
459981501	Triggered	4	 NoSound	50	2	459981501
459985640	Triggered	5	 Modulated Tone	25	2	459985640
459988917	Triggered	8	 NoSound	50	2	459988917
460003420	Triggered	5	 Modulated Tone	25	2	460003420
460006964	Triggered	8	 NoSound	50	2	460006964
460019529	Triggered	5	 Modulated Tone	25	2	460019529
460023946	Triggered	2	 NoSound	50	2	460023946
460029489	Triggered	5	 Modulated Tone	25	2	460029489
460039850	Triggered	1	 Modulated Tone	25	2	460039850
460052016	Triggered	5	 Modulated Tone	25	2	460052016
460055835	Triggered	6	 NoSound	50	2	460055835
460062112	Triggered	2	 NoSound	50	2	460062112
460067858	Triggered	5	 Modulated Tone	25	2	460067858
460072133	Triggered	6	 NoSound	50	2	460072133
460079353	Triggered	7	 NoSound	50	2	460079353
460081692	Triggered	8	 NoSound	50	2	460081692
460086706	Triggered	1	 Modulated Tone	25	2	460086706
460095862	Triggered	2	 NoSound	50	2	460095862
460101343	Triggered	5	 Modulated Tone	25	2	460101343
460104287	Triggered	8	 NoSound	50	2	460104287
460113910	Triggered	5	 Modulated Tone	25	2	460113910
460118520	Triggered	8	 NoSound	50	2	460118520
460129283	Triggered	5	 Modulated Tone	25	2	460129283
460134435	Triggered	8	 NoSound	50	2	460134435
460145598	Triggered	5	 Modulated Tone	25	2	460145598
460150939	Triggered	8	 NoSound	50	2	460150939
460161834	Triggered	5	 Modulated Tone	25	2	460161834
460169733	Triggered	8	 NoSound	50	2	460169733
460182088	Triggered	5	 Modulated Tone	25	2	460182088
460199064	Triggered	8	 NoSound	50	2	460199064
460211706	Triggered	5	 Modulated Tone	25	2	460211706
460216443	Triggered	8	 NoSound	50	2	460216443
460233888	Triggered	5	 Modulated Tone	25	2	460233888
460258824	Triggered	1	 Modulated Tone	25	2	460258824
460262697	Triggered	6	 NoSound	50	2	460262697
460278672	Triggered	1	 Modulated Tone	25	2	460278672
460286759	Triggered	4	 NoSound	50	2	460286759
460295787	Triggered	1	 Modulated Tone	25	2	460295787
460300395	Triggered	6	 NoSound	50	2	460300395
460314299	Triggered	1	 Modulated Tone	25	2	460314299
460326330	Triggered	5	 Modulated Tone	25	2	460326330
460347585	Triggered	4	 NoSound	50	2	460347585
460360290	Triggered	1	 Modulated Tone	25	2	460360290
460365101	Triggered	4	 NoSound	50	2	460365101
460377061	Triggered	3	 NoSound	50	2	460377061
460378531	Triggered	2	 NoSound	50	2	460378531
460385217	Triggered	1	 Modulated Tone	25	2	460385217
460389293	Triggered	6	 NoSound	50	2	460389293
460406204	Triggered	1	 Modulated Tone	25	2	460406204
460413360	Triggered	6	 NoSound	50	2	460413360
460432338	Triggered	1	 Modulated Tone	25	2	460432338
460441496	Triggered	6	 NoSound	50	2	460441496
460455933	Triggered	1	 Modulated Tone	25	2	460455933
460479332	Triggered	6	 NoSound	50	2	460479332
460494233	Triggered	1	 Modulated Tone	25	2	460494233
460515154	Triggered	6	 NoSound	50	2	460515154
460528790	Triggered	1	 Modulated Tone	25	2	460528790
460545102	Triggered	6	 NoSound	50	2	460545102
460559937	Triggered	1	 Modulated Tone	25	2	460559937
460591826	Triggered	6	 NoSound	50	2	460591826
460606860	Triggered	1	 Modulated Tone	25	2	460606860
460672966	Triggered	5	 Modulated Tone	25	2	460672966
460676376	Triggered	8	 NoSound	50	2	460676376
460684469	Triggered	5	 Modulated Tone	25	2	460684469
460687806	Triggered	2	 NoSound	50	2	460687806
460704783	Triggered	5	 Modulated Tone	25	2	460704783
460711466	Triggered	8	 NoSound	50	2	460711466
460717084	Triggered	5	 Modulated Tone	25	2	460717084
460723297	Triggered	2	 NoSound	50	2	460723297
460735597	Triggered	5	 Modulated Tone	25	2	460735597
460745689	Triggered	8	 NoSound	50	2	460745689
460752039	Triggered	5	 Modulated Tone	25	2	460752039
460756050	Triggered	2	 NoSound	50	2	460756050
460772760	Triggered	5	 Modulated Tone	25	2	460772760
460779381	Triggered	8	 NoSound	50	2	460779381
460784123	Triggered	5	 Modulated Tone	25	2	460784123
460788934	Triggered	2	 NoSound	50	2	460788934
460799367	Triggered	5	 Modulated Tone	25	2	460799367
460805779	Triggered	2	 NoSound	50	2	460805779
460823358	Triggered	5	 Modulated Tone	25	2	460823358
460829974	Triggered	2	 NoSound	50	2	460829974
460842742	Triggered	5	 Modulated Tone	25	2	460842742
460852305	Triggered	2	 NoSound	50	2	460852305
460867340	Triggered	5	 Modulated Tone	25	2	460867340
460873555	Triggered	2	 NoSound	50	2	460873555
460888929	Triggered	5	 Modulated Tone	25	2	460888929
460912592	Triggered	6	 NoSound	50	2	460912592
460917871	Triggered	1	 Modulated Tone	25	2	460917871
460923954	Triggered	6	 NoSound	50	2	460923954
460929241	Triggered	1	 Modulated Tone	25	2	460929241
460935250	Triggered	4	 NoSound	50	2	460935250
460944141	Triggered	6	 NoSound	50	2	460944141
460950691	Triggered	1	 Modulated Tone	25	2	460950691
460955168	Triggered	4	 NoSound	50	2	460955168
460971213	Triggered	1	 Modulated Tone	25	2	460971213
460977293	Triggered	4	 NoSound	50	2	460977293
460994538	Triggered	1	 Modulated Tone	25	2	460994538
461017931	Triggered	6	 NoSound	50	2	461017931
461026688	Triggered	1	 Modulated Tone	25	2	461026688
461033977	Triggered	4	 NoSound	50	2	461033977
