Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
227386115	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227386115
227390848	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227390848
227391062	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227391062
227394218	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227394218
227394420	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227394420
227403904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227403904
227404108	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	227404108
227407275	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227407275
227407478	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227407478
227416358	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227416358
227416561	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	227416561
227419429	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227419429
227419632	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227419632
227430257	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227430257
227430460	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	227430460
227433628	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227433628
227433830	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227433830
227438801	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227438801
227439003	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	227439003
227442892	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227442892
227443092	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227443092
227468584	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227468584
227468787	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	227468787
227471771	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227471771
227471972	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227471972
227480615	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227480615
227480817	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	227480817
227484828	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227484828
227485030	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227485030
227493010	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227493010
