Ver1.3	111972973	StartFile	7/26/2020	7:10:31 PM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\072620B\SoundData.txt	111972973
112522659	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112522659
112522863	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112522863
112525340	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112525340
112525542	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112525542
112536493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112536493
112536697	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112536697
112538965	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112538965
112539168	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112539168
112550598	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112550598
112550800	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112550800
112553004	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112553004
112553206	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112553206
112563437	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112563437
112563640	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112563640
112566244	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112566244
112566447	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112566447
112577200	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112577200
112577402	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112577402
112580008	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112580008
112580211	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112580211
112589966	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112589966
112590169	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	112590169
112592573	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112592573
112592775	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112592775
112604002	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112604002
112604206	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	112604206
112606876	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112606876
112607079	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112607079
112618239	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112618239
112618443	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	112618443
112621247	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112621247
112621449	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112621449
112634282	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112634282
112634486	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	112634486
112637556	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112637556
112637758	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112637758
112650537	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112650537
112650739	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	112650739
112653063	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112653063
112653266	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112653266
112666766	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112666766
112666969	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	112666969
112669507	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112669507
112669709	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112669709
112681070	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112681070
112681272	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	112681272
112683810	Triggered	8,52,53,54,55,56,	 NoSound	40	2	112683810
112684013	Triggered	8,52,53,54,55,56,	 File_beep5	40	2	112684013
112694170	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	112694170
112694371	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	112694371
112709945	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112709945
112713020	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112713020
112713220	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	112713220
112722043	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112722043
112722248	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112722248
112726187	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112726187
112726388	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112726388
112737150	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112737150
112737366	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112737366
112741294	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112741294
112741495	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	112741495
112751119	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112751119
112751323	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112751323
112755999	Triggered	6,47,48,49,50,51,	 NoSound	40	2	112755999
112756201	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	112756201
112765223	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112765223
112765425	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112765425
112770303	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112770303
112770505	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112770505
112781266	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112781266
112781471	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112781471
112786546	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112786546
112786749	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112786749
112797041	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112797041
112797246	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112797246
112800781	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112800781
112800983	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112800983
112810073	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112810073
112810277	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112810277
112813615	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112813615
112813818	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112813818
112824243	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112824243
112824446	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112824446
112827785	Triggered	4,42,43,44,45,46,	 NoSound	40	2	112827785
112827987	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	112827987
112837345	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	112837345
112837563	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	112837563
