Ver1.3	945312147	StartFile	8/5/2020	10:39:30 AM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\080520A\SoundData.txt	945312147
946341925	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946341925
946342144	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946342144
946345172	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946345172
946345374	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946345374
946355582	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946355582
946355785	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946355785
946358409	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946358409
946358610	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946358610
946367734	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946367734
946367939	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	946367939
946370865	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946370865
946371067	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946371067
946381814	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946381814
946382019	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	946382019
946384942	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946384942
946385145	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946385145
946393847	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946393847
946394051	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	946394051
946396863	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946396863
946397065	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946397065
946407698	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946407698
946407900	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	946407900
946410875	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946410875
946411077	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946411077
946421643	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946421643
946421844	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	946421844
946424832	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946424832
946425034	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946425034
946435963	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946435963
946436166	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	946436166
946438976	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946438976
946439178	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946439178
946449861	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946449861
946450062	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	946450062
946453591	Triggered	8,52,53,54,55,56,	 NoSound	40	2	946453591
946453794	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	946453794
946467129	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	946467129
946467329	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	946467329
946481388	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946481388
946484938	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946484938
946485139	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946485139
946507922	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946507922
946511892	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946511892
946512093	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946512093
946532048	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946532048
946545344	Triggered	4,42,43,44,45,46,	 NoSound	40	2	946545344
946545545	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	946545545
946564783	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	946564783
946564986	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	946564986
946569772	Triggered	6,47,48,49,50,51,	 NoSound	40	2	946569772
946569974	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	946569974
