Ver1.3	157187053	StartFile	8/21/2020	2:45:55 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\082120B\SoundData.txt	157187053
157842511	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157842511
157842716	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	157842716
157845226	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157845226
157845427	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157845427
157854485	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157854485
157854689	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	157854689
157857734	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157857734
157857935	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157857935
157867244	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157867244
157867447	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	157867447
157870007	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157870007
157870209	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157870209
157879212	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157879212
157879415	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	157879415
157882161	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157882161
157882364	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157882364
157891547	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157891547
157891750	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	157891750
157894256	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157894256
157894458	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157894458
157902436	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157902436
157902639	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	157902639
157905325	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157905325
157905527	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157905527
157913808	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157913808
157914009	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	157914009
157916455	Triggered	8,52,53,54,55,56,	 NoSound	40	2	157916455
157916657	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	157916657
157924938	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	157924938
157925138	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	157925138
157936972	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157936972
157937179	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157937179
157940040	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157940040
157946297	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157946297
157946499	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157946499
157951532	Triggered	6,47,48,49,50,51,	 NoSound	40	2	157951532
157951735	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	157951735
157965791	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157965791
157965994	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157965994
157969162	Triggered	4,42,43,44,45,46,	 NoSound	40	2	157969162
157974943	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157974943
157975146	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157975146
157980471	Triggered	6,47,48,49,50,51,	 NoSound	40	2	157980471
157980674	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	157980674
157994009	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	157994009
157994227	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	157994227
158009712	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158009712
158009914	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158009914
158021748	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158021748
158021952	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158021952
158025837	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158025837
158026040	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158026040
158037869	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158037869
158038082	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158038082
158041420	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158041420
158041623	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158041623
158052490	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158052490
158052695	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	158052695
158055801	Triggered	6,47,48,49,50,51,	 NoSound	40	2	158055801
158056002	Triggered	6,47,48,49,50,51,	 File_beep5	40	2	158056002
158066329	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	158066329
