Ver1.3	1003887668	StartFile	8/31/2020	9:57:36 AM	E:\BehavioralExperiments\Twenty\Horizon\RawData\083120\SoundData.txt	1003887668
1005045936	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005045936
1005046138	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1005046138
1005056497	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005056497
1005056699	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1005056699
1005061044	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005061044
1005061248	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005061248
1005076817	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005076817
1005077019	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1005077019
1005096668	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005096668
1005100010	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005100010
1005100234	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1005100234
1005116586	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005116586
1005120130	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005120130
1005120333	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005120333
1005136572	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005136572
1005140115	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005140115
1005140318	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005140318
1005151076	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005151076
1005154753	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005154753
1005154955	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1005154955
1005167119	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005167119
1005167322	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1005167322
1005170528	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005170528
1005170730	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005170730
1005184163	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005184163
1005184366	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1005184366
1005188448	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005188448
1005188649	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005188649
1005198200	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005198200
1005198405	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1005198405
1005202812	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005202812
1005203013	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005203013
1005213974	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005213974
1005214178	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1005214178
1005217985	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005217985
1005218186	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005218186
1005231754	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005231754
1005231955	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1005231955
1005235497	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005235497
1005235699	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005235699
1005245592	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005245592
1005245793	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1005245793
1005250670	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005250670
1005250871	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1005250871
1005261700	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005261700
1005261900	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1005261900
1005303340	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005303340
1005307685	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005307685
1005307886	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1005307886
1005323191	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005323191
1005327135	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005327135
1005327337	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1005327337
1005335892	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005335892
1005339902	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005339902
1005340124	Triggered	6,47,48,49,50,51,	 File_beep2	40	2	1005340124
1005348533	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005348533
1005354139	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005354139
1005354341	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1005354341
1005362896	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005362896
1005363109	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1005363109
1005367507	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005367507
1005367708	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1005367708
1005376465	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005376465
1005376665	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1005376665
1005392975	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005392975
1005393177	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005393177
1005402666	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005402666
1005405740	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005405740
1005405941	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1005405941
1005415434	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005415434
1005418707	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005418707
1005418909	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1005418909
1005429537	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005429537
1005433011	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005433011
1005433213	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	1005433213
1005444442	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005444442
1005444645	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1005444645
1005448062	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005448062
1005448263	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005448263
1005457877	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005457877
1005458080	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1005458080
1005461754	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005461754
1005461956	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005461956
1005469306	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005469306
1005469509	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1005469509
1005473918	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005473918
1005474132	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005474132
1005482942	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005482942
1005483144	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1005483144
1005487286	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005487286
1005487487	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005487487
1005494372	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005494372
1005494575	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1005494575
1005498448	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005498448
1005498649	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005498649
1005508816	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005508816
1005509017	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1005509017
1005513022	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005513022
1005513224	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1005513224
1005526056	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005526056
1005526257	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1005526257
1005539823	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005539823
1005543632	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005543632
1005543834	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005543834
1005561546	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005561546
1005565958	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005565958
1005566160	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005566160
1005583877	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005583877
1005594700	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1005594700
1005594901	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1005594901
1005605529	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005605529
1005609139	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005609139
1005609340	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005609340
1005622174	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005622174
1005622375	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1005622375
1005626852	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1005626852
1005627054	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1005627054
1005642965	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1005642965
1005643167	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundLong	40	2	1005643167
1005658198	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005658198
1005661274	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005661274
1005661476	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1005661476
1005672904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005672904
1005676178	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005676178
1005676380	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1005676380
1005691219	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005691219
1005694493	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1005694493
1005694695	Triggered	2,37,38,39,40,41,	 File_beep3	40	2	1005694695
1005707729	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005707729
1005711338	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005711338
1005711539	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005711539
1005720761	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005720761
1005720966	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1005720966
1005724637	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005724637
1005724839	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005724839
1005735200	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005735200
1005735404	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1005735404
1005739411	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1005739411
1005739612	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	1005739612
1005749903	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1005749903
1005750107	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1005750107
