Ver1.3	691663256	StartFile	10/29/2020	4:11:35 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\102920\B\SoundData.txt	691663256
692316276	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692316276
692316481	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692316481
692318800	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692318800
692319000	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692319000
692325840	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692325840
692326045	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692326045
692328609	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692328609
692328811	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692328811
692336248	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692336248
692336452	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692336452
692339558	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692339558
692339759	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692339759
692349849	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692349849
692350054	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692350054
692353276	Triggered	2,37,38,39,40,41,	 NoSound	40	2	692353276
692353476	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	692353476
692360555	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692360555
692360760	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692360760
692363623	Triggered	2,37,38,39,40,41,	 NoSound	40	2	692363623
692363825	Triggered	2,37,38,39,40,41,	 File_beep2	40	2	692363825
692370843	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692370843
692371049	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	692371049
692374334	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692374334
692374535	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692374535
692383306	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692383306
692383510	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	692383510
692386127	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692386127
692386329	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692386329
692392684	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692392684
692392898	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	692392898
692395812	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692395812
692396013	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692396013
692402070	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692402070
692402285	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	692402285
692404717	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692404717
692404917	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692404917
692411998	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692411998
692412214	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	692412214
692415186	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692415186
692415406	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692415406
692420842	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692420842
692421044	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	692421044
692424030	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692424030
692424232	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692424232
692435462	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692435462
692435663	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	692435663
692439674	Triggered	8,52,53,54,55,56,	 NoSound	40	2	692439674
692439875	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	692439875
692452731	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	692452731
692452931	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	692452931
692470176	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692470176
692474276	Triggered	4,42,43,44,45,46,	 NoSound	40	2	692474276
692474477	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	692474477
692520298	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692520298
692530464	Triggered	4,42,43,44,45,46,	 NoSound	40	2	692530464
692530664	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	692530664
692596826	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	692596826
692600617	Triggered	4,42,43,44,45,46,	 NoSound	40	2	692600617
692600817	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	692600817
