Ver1.3	103758953	StartFile	7/26/2020	4:53:37 PM	E:\BehavioralExperiments\Ratzo\RatData_Ratzo\Rawdata\072620A\SoundData.txt	103758953
104369966	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	104369966
104372832	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104372832
104373033	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104373033
104381977	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104381977
104382180	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	104382180
104385178	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104385178
104385381	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104385381
104394491	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104394491
104394707	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	104394707
104397859	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104397859
104398061	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104398061
104408147	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104408147
104408348	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	104408348
104411458	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104411458
104411659	Triggered	4,42,43,44,45,46,	 File_beep2	40	2	104411659
104420968	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104420968
104421168	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	104421168
104442020	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104442020
104446233	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104446233
104446435	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104446435
104461815	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104461815
104462021	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104462021
104465728	Triggered	2,37,38,39,40,41,	 NoSound	40	2	104465728
104465944	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	104465944
104477759	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104477759
104477963	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104477963
104481550	Triggered	2,37,38,39,40,41,	 NoSound	40	2	104481550
104481752	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	104481752
104493342	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104493342
104493547	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104493547
104496593	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104496593
104496796	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104496796
104509407	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104509407
104509610	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104509610
104512782	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104512782
104512986	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104512986
104524749	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104524749
104524952	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104524952
104527937	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104527937
104528139	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104528139
104539490	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104539490
104539695	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104539695
104542439	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104542439
104542641	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104542641
104553689	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104553689
104553891	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104553891
104557058	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104557058
104557261	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104557261
104568609	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104568609
104568813	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104568813
104571860	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104571860
104572062	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104572062
104584200	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104584200
104584404	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104584404
104587323	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104587323
104587525	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104587525
104598993	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104598993
104599196	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104599196
104601942	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104601942
104602144	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104602144
104613493	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104613493
104613696	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104613696
104616624	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104616624
104616825	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104616825
104629619	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104629619
104629824	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104629824
104632627	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104632627
104632828	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104632828
104643035	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104643035
104643238	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104643238
104646103	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104646103
104646305	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104646305
104657597	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104657597
104657799	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	104657799
104660664	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104660664
104660866	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104660866
104673908	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104673908
104674110	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	104674110
104676915	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104676915
104677117	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104677117
104690987	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104690987
104691189	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	104691190
104694665	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104694665
104694868	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104694868
104708374	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104708374
104708578	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	104708578
104711684	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104711684
104711887	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104711887
104722635	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104722635
104722836	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	104722836
104726065	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104726065
104726282	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104726282
104737735	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104737735
104737937	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	104737937
104741106	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104741106
104741309	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104741309
104752237	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104752237
104752438	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	104752438
104755484	Triggered	8,52,53,54,55,56,	 NoSound	40	2	104755484
104755687	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	104755687
104768788	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	104768788
104768988	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	104768988
104784063	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104784063
104811746	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104811746
104811950	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104811950
104816794	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104816794
104826661	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104826661
104826864	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104826864
104834844	Triggered	6,47,48,49,50,51,	 NoSound	40	2	104834844
104842486	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104842486
104842689	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104842689
104857467	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104857467
104870521	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104870521
104870726	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104870726
104876720	Triggered	6,47,48,49,50,51,	 NoSound	40	2	104876720
104885384	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	104885384
104885586	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	104885586
104927979	Triggered	4,42,43,44,45,46,	 NoSound	40	2	104927979
