Ver1.3	430142375	StartFile	7/30/2020	11:33:21 AM	E:\BehavioralExperiments\Rizzo\RatData_Rizzo\Rawdata\073020A\SoundData.txt	430142375
430706772	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430706772
430706974	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430706974
430715260	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430715260
430715465	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430715465
430718134	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430718134
430718335	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430718335
430728161	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430728161
430728366	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430728366
430730768	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430730768
430730971	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430730971
430738521	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430738521
430738724	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430738724
430741062	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430741062
430741275	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430741275
430748548	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430748548
430748751	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430748751
430751422	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430751422
430751624	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430751624
430758239	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430758239
430758442	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430758442
430760980	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430760980
430761181	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430761181
430768667	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430768667
430768881	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430768881
430771608	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430771608
430771810	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430771810
430777958	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430777958
430778160	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430778160
430781440	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430781440
430781641	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430781641
430788050	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430788050
430788254	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430788254
430790791	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430790791
430790992	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430790992
430797208	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430797208
430797412	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430797412
430800617	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430800617
430800819	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430800819
430807033	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430807033
430807237	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430807237
430809707	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430809707
430809908	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430809908
430815923	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430815923
430816125	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	430816125
430818796	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430818796
430818997	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430818997
430826016	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430826016
430826219	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	430826219
430828689	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430828689
430828890	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430828890
430834974	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430834974
430835177	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	430835177
430837647	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430837647
430837861	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430837861
430843261	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430843261
430843463	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	430843463
430846001	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430846001
430846203	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430846203
430851348	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430851348
430851551	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	430851551
430853889	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430853889
430854089	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430854089
430861242	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430861242
430861444	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	430861444
430863988	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430863988
430864189	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430864189
430869864	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430869864
430870066	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	430870066
430872671	Triggered	8,52,53,54,55,56,	 NoSound	40	2	430872671
430872872	Triggered	8,52,53,54,55,56,	 File_beep2	40	2	430872872
430879824	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	430879824
430880025	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	430880025
430893458	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430893458
430895998	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430895998
430896200	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430896200
430904219	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	430904219
430904421	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	430904421
430906829	Triggered	4,42,43,44,45,46,	 NoSound	40	2	430906829
430907031	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	430907031
