Ver1.2	278501657	StartFile	4/19/2020	10:14:20 PM	E:\BehavioralExperiments\Hachi\RawData\041920D\SoundData.txt	278501657
279861827	Triggered	4	 NoSound	50	2	279861827
279875457	Triggered	1	 Modulated Tone	25	2	279875457
279878997	Triggered	5	 Modulated Tone	25	2	279878997
279881941	Triggered	2	 NoSound	50	2	279881941
279895314	Triggered	5	 Modulated Tone	25	2	279895314
279898451	Triggered	2	 NoSound	50	2	279898451
279909276	Triggered	5	 Modulated Tone	25	2	279909276
279917234	Triggered	4	 NoSound	50	2	279917234
279967568	Triggered	1	 Modulated Tone	25	2	279967568
279974453	Triggered	2	 NoSound	50	2	279974453
279987019	Triggered	3	 NoSound	50	2	279987019
279990234	Triggered	4	 NoSound	50	2	279990234
279996905	Triggered	5	 Modulated Tone	25	2	279996905
280010473	Triggered	2	 NoSound	50	2	280010473
280021838	Triggered	5	 Modulated Tone	25	2	280021838
280025446	Triggered	2	 NoSound	50	2	280025446
280038285	Triggered	5	 Modulated Tone	25	2	280038285
280041421	Triggered	2	 NoSound	50	2	280041421
280059408	Triggered	5	 Modulated Tone	25	2	280059408
280062746	Triggered	2	 NoSound	50	2	280062746
280077925	Triggered	5	 Modulated Tone	25	2	280077925
280081727	Triggered	2	 NoSound	50	2	280081727
280126241	Triggered	5	 Modulated Tone	25	2	280126241
280130385	Triggered	2	 NoSound	50	2	280130385
280144962	Triggered	5	 Modulated Tone	25	2	280144962
280155454	Triggered	1	 Modulated Tone	25	2	280155454
280159195	Triggered	4	 NoSound	50	2	280159195
280169087	Triggered	6	 NoSound	50	2	280169087
